open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-01 00:00:00,107146.51,107449.25,107026.93,107377.02,253.62802,2025-07-01 00:59:59.999999,27201245.0597966,68242,114.96074,12329702.6385874
2025-07-01 01:00:00,107377.03,107540.0,107171.42,107220.0,219.64653,2025-07-01 01:59:59.999999,23588589.1966471,67588,80.21028,8614095.1946154
2025-07-01 02:00:00,107220.0,107410.74,107097.87,107101.69,207.06087,2025-07-01 02:59:59.999999,22208214.3338702,54684,81.41164,8731958.124816
2025-07-01 03:00:00,107101.68,107223.0,107070.2,107192.38,293.12458,2025-07-01 03:59:59.999999,31410335.830836,38802,152.24013,16314508.4391315
2025-07-01 04:00:00,107192.39,107203.11,106867.43,106881.6,261.75371,2025-07-01 04:59:59.999999,28018264.713685,42983,89.94461,9629882.960979
2025-07-01 05:00:00,106881.6,106967.76,106740.0,106932.49,402.48733,2025-07-01 05:59:59.999999,42994565.5225608,60358,191.50267,20454271.4719151
2025-07-01 06:00:00,106932.49,106932.49,106758.24,106890.77,167.32269,2025-07-01 06:59:59.999999,17876477.8568617,40173,74.39042,7947491.853427
2025-07-01 07:00:00,106890.77,107178.99,106615.97,107178.99,436.41463,2025-07-01 07:59:59.999999,46669329.8718468,74154,205.18233,21945749.6127744
2025-07-01 08:00:00,107178.99,107178.99,106681.52,106710.12,282.35131,2025-07-01 08:59:59.999999,30178535.4881933,60018,101.02942,10795966.3060006
2025-07-01 09:00:00,106710.12,106794.09,106500.0,106556.39,389.14535,2025-07-01 09:59:59.999999,41486047.0620699,75361,160.98289,17163939.4126021
2025-07-01 10:00:00,106556.39,106633.31,106301.86,106490.42,468.88764,2025-07-01 10:59:59.999999,49912164.0727419,71251,201.2731,21424361.008124
2025-07-01 11:00:00,106490.42,106622.05,106317.17,106605.8,294.43204,2025-07-01 11:59:59.999999,31360024.2649717,55297,161.18838,17170104.4353443
2025-07-01 12:00:00,106605.79,106706.05,106365.24,106421.08,284.29339,2025-07-01 12:59:59.999999,30271032.7404543,53256,132.47161,14104510.4264938
2025-07-01 13:00:00,106421.07,106885.38,106301.04,106807.42,1241.43566,2025-07-01 13:59:59.999999,132325715.8732655,146908,642.38499,68476143.5843749
2025-07-01 14:00:00,106807.43,107179.99,105717.84,105925.0,1572.86174,2025-07-01 14:59:59.999999,167219090.6478477,270227,619.79363,65917430.7512131
2025-07-01 15:00:00,105925.01,106200.0,105623.39,105955.18,876.10488,2025-07-01 15:59:59.999999,92743064.630492,180696,382.87659,40538816.5057337
2025-07-01 16:00:00,105955.19,106280.0,105831.5,106082.56,343.73692,2025-07-01 16:59:59.999999,36474638.683857,109260,186.26906,19766596.3016203
2025-07-01 17:00:00,106082.55,106287.95,105909.42,106253.79,279.69821,2025-07-01 17:59:59.999999,29691345.8467562,83387,141.34267,15006099.4694304
2025-07-01 18:00:00,106253.8,106269.6,105699.22,105749.68,412.70793,2025-07-01 18:59:59.999999,43715467.4336415,81967,131.44652,13921822.9914526
2025-07-01 19:00:00,105749.68,105804.0,105387.68,105398.53,654.75967,2025-07-01 19:59:59.999999,69124930.4097538,127204,273.04235,28828176.8968022
2025-07-01 20:00:00,105398.52,105995.44,105250.85,105920.01,431.58675,2025-07-01 20:59:59.999999,45564183.291887,78630,206.66002,21824244.7739269
2025-07-01 21:00:00,105920.01,106100.0,105744.81,105784.13,231.93599,2025-07-01 21:59:59.999999,24562536.2117605,65998,111.55107,11812596.8801535
2025-07-01 22:00:00,105784.12,105916.64,105600.0,105613.22,253.7495,2025-07-01 22:59:59.999999,26833553.6441625,54550,74.87814,7918610.8952284
2025-07-01 23:00:00,105613.21,105702.39,105361.33,105681.14,246.49903,2025-07-01 23:59:59.999999,26003593.2046776,52295,131.88401,13912195.2490319
2025-07-02 00:00:00,105681.13,105781.43,105377.35,105392.3,239.30387,2025-07-02 00:59:59.999999,25268718.3699814,65544,94.78211,10010392.7095692
2025-07-02 01:00:00,105392.3,105790.07,105100.19,105720.0,517.94641,2025-07-02 01:59:59.999999,54644898.251848,91516,218.61486,23067962.735764
2025-07-02 02:00:00,105720.0,105920.11,105525.61,105908.7,333.47913,2025-07-02 02:59:59.999999,35246073.6266798,57890,151.36771,16003701.2538791
2025-07-02 03:00:00,105908.71,106216.08,105871.07,106194.7,362.91292,2025-07-02 03:59:59.999999,38499854.9194872,63196,195.41572,20729217.651084
2025-07-02 04:00:00,106194.7,106382.86,106131.55,106382.86,339.23333,2025-07-02 04:59:59.999999,36035718.3503535,47100,169.52016,18007982.9904397
2025-07-02 05:00:00,106382.85,106667.57,106292.29,106638.83,395.18675,2025-07-02 05:59:59.999999,42090726.9343229,55266,233.1613,24834724.7727745
2025-07-02 06:00:00,106638.83,107014.39,106633.83,107014.38,611.77648,2025-07-02 06:59:59.999999,65377258.4094986,69147,304.51865,32548779.0212253
2025-07-02 07:00:00,107014.39,107186.78,106852.83,107080.0,557.31452,2025-07-02 07:59:59.999999,59629849.0975831,55929,224.02903,23971957.971902
2025-07-02 08:00:00,107080.0,107745.0,107080.0,107728.99,802.78861,2025-07-02 08:59:59.999999,86321818.9332892,103085,446.12612,47963719.9468994
2025-07-02 09:00:00,107729.0,107799.99,107506.52,107636.16,388.44355,2025-07-02 09:59:59.999999,41819777.6025353,62186,150.84719,16242239.7333595
2025-07-02 10:00:00,107636.15,107860.23,107612.67,107848.95,442.3967,2025-07-02 10:59:59.999999,47669480.7102873,28340,222.60322,23993485.6916743
2025-07-02 11:00:00,107848.95,107848.96,107338.15,107479.99,514.05194,2025-07-02 11:59:59.999999,55337431.614169,57860,164.8534,17745206.58663
2025-07-02 12:00:00,107479.98,107479.99,107186.1,107379.92,371.85695,2025-07-02 12:59:59.999999,39912771.4137535,72797,152.1546,16330706.8896652
2025-07-02 13:00:00,107379.92,107998.0,107280.0,107768.2,587.51111,2025-07-02 13:59:59.999999,63241369.8597686,160849,288.94713,31101042.105844
2025-07-02 14:00:00,107768.21,108171.8,107659.35,108139.99,937.16142,2025-07-02 14:59:59.999999,101147117.3986872,164199,510.81103,55138778.9248096
2025-07-02 15:00:00,108140.0,108759.2,108120.0,108737.74,1330.61173,2025-07-02 15:59:59.999999,144251976.8132022,169949,807.6868,87574811.3678895
2025-07-02 16:00:00,108737.75,109646.45,108650.97,109413.02,2695.11586,2025-07-02 16:59:59.999999,294534085.3572738,337674,1589.66668,173682233.2520984
2025-07-02 17:00:00,109413.01,109730.0,108834.3,109129.67,1117.75624,2025-07-02 17:59:59.999999,122183280.0429184,197130,507.15208,55448656.3647431
2025-07-02 18:00:00,109129.68,109538.89,108989.9,109538.88,522.88486,2025-07-02 18:59:59.999999,57142551.4182433,118599,293.35364,32062232.7557317
2025-07-02 19:00:00,109538.88,109681.81,109293.9,109676.14,1320.35211,2025-07-02 19:59:59.999999,144542115.4475531,144322,1067.59082,116874532.2973391
2025-07-02 20:00:00,109676.14,109676.14,109128.72,109136.3,575.18566,2025-07-02 20:59:59.999999,62881663.417069,89766,201.64699,22045172.335169
2025-07-02 21:00:00,109136.31,109542.31,109130.01,109441.8,1281.72086,2025-07-02 21:59:59.999999,140106189.2299767,86847,826.45062,90320520.7857694
2025-07-02 22:00:00,109441.79,109498.91,109100.57,109142.0,673.30761,2025-07-02 22:59:59.999999,73572943.6863759,72335,150.14418,16402193.2384956
2025-07-02 23:00:00,109142.0,109170.42,108720.0,108849.6,773.5973,2025-07-02 23:59:59.999999,84241334.9724327,73182,276.98625,30161486.8261196
